"Area","Year","Month","TM"
"AT",1866,"05",7.1
"AT",1866,"06",14.5
"AT",1866,"07",13.6
"AT",1866,"08",12.3
"AT",1866,"09",12.4
"AT",1866,"10",4.8
"AT",1866,"11",0.4
"AT",1866,"12",-2.4
"AT",1867,"01",-3.7
"AT",1867,"02",0
"AT",1867,"03",-0.2
"AT",1867,"04",5.1
"AT",1867,"05",9.5
"AT",1867,"06",12.6
"AT",1867,"07",13.4
"AT",1867,"08",15
"AT",1867,"09",12.1
"AT",1867,"10",5.2
"AT",1867,"11",-1.3
"AT",1867,"12",-5.6
"AT",1868,"01",-5.8
"AT",1868,"02",-1.1
"AT",1868,"03",-0.6
"AT",1868,"04",4.2
"AT",1868,"05",13.8
"AT",1868,"06",14.2
"AT",1868,"07",14.7
"AT",1868,"08",15
"AT",1868,"09",13.3
"AT",1868,"10",7.6
"AT",1868,"11",-0.8
"AT",1868,"12",0.6
"AT",1869,"01",-5.8
"AT",1869,"02",1.8
"AT",1869,"03",-1.3
"AT",1869,"04",6.9
"AT",1869,"05",12.1
"AT",1869,"06",10.6
"AT",1869,"07",16.4
"AT",1869,"08",12.9
"AT",1869,"09",12.2
"AT",1869,"10",3.6
"AT",1869,"11",0.2
"AT",1869,"12",-2.7
"AT",1870,"01",-6
"AT",1870,"02",-6.4
"AT",1870,"03",-2.7
"AT",1870,"04",3.5
"AT",1870,"05",11.1
"AT",1870,"06",12.9
"AT",1870,"07",16
"AT",1870,"08",12.6
"AT",1870,"09",9.1
"AT",1870,"10",5.1
"AT",1870,"11",1.5
"AT",1870,"12",-6.2
"AT",1871,"01",-7.3
"AT",1871,"02",-3.5
"AT",1871,"03",0.9
"AT",1871,"04",4.8
"AT",1871,"05",6.9
"AT",1871,"06",10.2
"AT",1871,"07",15.3
"AT",1871,"08",14.3
"AT",1871,"09",12.2
"AT",1871,"10",4
"AT",1871,"11",-1.1
"AT",1871,"12",-9.4
"AT",1872,"01",-4.1
"AT",1872,"02",-2.2
"AT",1872,"03",2
"AT",1872,"04",6.3
"AT",1872,"05",10.7
"AT",1872,"06",12.5
"AT",1872,"07",15.4
"AT",1872,"08",13.2
"AT",1872,"09",12.1
"AT",1872,"10",8.8
