"Area","Year","Month","TM"
"B",1972,"10",7.4
"B",1972,"11",4.4
"B",1972,"12",-0.6
"B",1973,"01",-1.2
"B",1973,"02",1.2
"B",1973,"03",4.7
"B",1973,"04",7.6
"B",1973,"05",14.8
"B",1973,"06",17.2
"B",1973,"07",19.1
"B",1973,"08",19.3
"B",1973,"09",15.5
"B",1973,"10",7.8
"B",1973,"11",2.6
"B",1973,"12",0
"B",1974,"01",1
"B",1974,"02",4
"B",1974,"03",7.3
"B",1974,"04",8.9
"B",1974,"05",13.1
"B",1974,"06",15.4
"B",1974,"07",18.2
"B",1974,"08",20.4
"B",1974,"09",14.7
"B",1974,"10",6.3
"B",1974,"11",4
"B",1974,"12",3.2
"B",1975,"01",2.5
"B",1975,"02",0.3
"B",1975,"03",5.4
"B",1975,"04",8.9
"B",1975,"05",15.4
"B",1975,"06",16.3
"B",1975,"07",19.4
"B",1975,"08",18.7
"B",1975,"09",17.1
"B",1975,"10",9
"B",1975,"11",2.6
"B",1975,"12",0.2
"B",1976,"01",0.5
"B",1976,"02",-0.6
"B",1976,"03",1.8
"B",1976,"04",9.6
"B",1976,"05",14.1
"B",1976,"06",17.9
"B",1976,"07",20.1
"B",1976,"08",16.2
"B",1976,"09",13.5
"B",1976,"10",10.1
"B",1976,"11",5.7
"B",1976,"12",-0.6
"B",1977,"01",-0.4
"B",1977,"02",3.2
"B",1977,"03",8.3
"B",1977,"04",8.2
"B",1977,"05",14.3
"B",1977,"06",18.3
"B",1977,"07",18.9
"B",1977,"08",18
"B",1977,"09",13.1
"B",1977,"10",10.8
"B",1977,"11",5.5
"B",1977,"12",-0.8
"B",1978,"01",-0.3
"B",1978,"02",-0.8
"B",1978,"03",6.2
"B",1978,"04",8
"B",1978,"05",12.5
"B",1978,"06",16.4
"B",1978,"07",17.3
"B",1978,"08",17.3
"B",1978,"09",14.4
"B",1978,"10",9.8
"B",1978,"11",1.4
"B",1978,"12",-0.3
"B",1979,"01",-3.9
"B",1979,"02",0.3
"B",1979,"03",5.8
"B",1979,"04",7.9
"B",1979,"05",14.7
"B",1979,"06",19.1
"B",1979,"07",17
"B",1979,"08",17.7
"B",1979,"09",14.9
"B",1979,"10",7.9
"B",1979,"11",4.5
"B",1979,"12",3.4
"B",1980,"01",-3.6
"B",1980,"02",1.7
"B",1980,"03",3.8
"B",1980,"04",6.8
"B",1980,"05",11.6
"B",1980,"06",16.7
"B",1980,"07",17.8
"B",1980,"08",18.7
"B",1980,"09",14.6
"B",1980,"10",9.1
"B",1980,"11",2.5
"B",1980,"12",0
"B",1981,"01",-2.2
"B",1981,"02",0.8
"B",1981,"03",7.9
"B",1981,"04",9.4
"B",1981,"05",14.3
"B",1981,"06",18.2
"B",1981,"07",18.5
"B",1981,"08",18.9
"B",1981,"09",15.4
"B",1981,"10",10.4
"B",1981,"11",4.5
"B",1981,"12",-1
"B",1982,"01",-3.9
"B",1982,"02",-1.8
"B",1982,"03",5.2
"B",1982,"04",7.5
"B",1982,"05",14.5
"B",1982,"06",18
"B",1982,"07",19.8
"B",1982,"08",19.3
"B",1982,"09",17.5
"B",1982,"10",10.3
"B",1982,"11",4.9
"B",1982,"12",2.3
"B",1983,"01",3.5
"B",1983,"02",-1.6
"B",1983,"03",6.1
"B",1983,"04",11.4
"B",1983,"05",15.2
"B",1983,"06",17.4
"B",1983,"07",22.4
"B",1983,"08",19.7
"B",1983,"09",15.5
"B",1983,"10",10
"B",1983,"11",1.7
"B",1983,"12",0.2
"B",1984,"01",0
"B",1984,"02",-0.1
"B",1984,"03",3.8
"B",1984,"04",8.5
"B",1984,"05",13
"B",1984,"06",16.4
"B",1984,"07",17.6
"B",1984,"08",18.2
"B",1984,"09",14.6
"B",1984,"10",10.7
"B",1984,"11",4.5
"B",1984,"12",0
"B",1985,"01",-6.2
"B",1985,"02",-3.2
"B",1985,"03",3.5
"B",1985,"04",9.6
"B",1985,"05",15.2
"B",1985,"06",15.5
"B",1985,"07",19.9
"B",1985,"08",19
"B",1985,"09",15.6
"B",1985,"10",9.2
"B",1985,"11",1.6
"B",1985,"12",2.8
"B",1986,"01",-0.3
"B",1986,"02",-5.4
"B",1986,"03",3
"B",1986,"04",10.8
"B",1986,"05",16.6
"B",1986,"06",17.2
"B",1986,"07",18.8
"B",1986,"08",19.5
"B",1986,"09",14.5
"B",1986,"10",9.9
"B",1986,"11",4.7
"B",1986,"12",-1
"B",1987,"01",-5.1
"B",1987,"02",-0.4
"B",1987,"03",-0.5
"B",1987,"04",10.2
"B",1987,"05",12.6
"B",1987,"06",17.2
"B",1987,"07",20.2
"B",1987,"08",17.5
"B",1987,"09",17.6
"B",1987,"10",10.4
"B",1987,"11",4.6
"B",1987,"12",1.7
"B",1988,"01",2
"B",1988,"02",2.6
"B",1988,"03",3.6
"B",1988,"04",9.5
"B",1988,"05",15.3
"B",1988,"06",17.1
"B",1988,"07",20.6
"B",1988,"08",19.6
"B",1988,"09",15
"B",1988,"10",10.1
"B",1988,"11",0.8
"B",1988,"12",1.8
"B",1989,"01",-0.2
"B",1989,"02",4.1
"B",1989,"03",8
"B",1989,"04",10.4
"B",1989,"05",14.1
"B",1989,"06",16.1
"B",1989,"07",19.8
"B",1989,"08",18.9
"B",1989,"09",15.2
"B",1989,"10",10.4
"B",1989,"11",2.7
"B",1989,"12",1.4
"B",1990,"01",-0.5
"B",1990,"02",5.1
"B",1990,"03",8.6
"B",1990,"04",8.7
"B",1990,"05",15.5
"B",1990,"06",17.5
"B",1990,"07",19
"B",1990,"08",20.2
"B",1990,"09",13.4
"B",1990,"10",10.3
"B",1990,"11",5.1
"B",1990,"12",-0.1
"B",1991,"01",-0.1
"B",1991,"02",-2.7
"B",1991,"03",6.7
"B",1991,"04",8.5
"B",1991,"05",11.3
"B",1991,"06",17.1
"B",1991,"07",20.8
"B",1991,"08",19.5
"B",1991,"09",16.3
"B",1991,"10",8.6
"B",1991,"11",4.3
"B",1991,"12",-1.4
"B",1992,"01",1.3
"B",1992,"02",3.1
"B",1992,"03",5.5
"B",1992,"04",9.9
"B",1992,"05",14.9
"B",1992,"06",18.4
"B",1992,"07",20.7
"B",1992,"08",23.7
"B",1992,"09",15.8
"B",1992,"10",8.5
"B",1992,"11",5
"B",1992,"12",-0.3
"B",1993,"01",0.8
"B",1993,"02",-1
"B",1993,"03",4.3
"B",1993,"04",10.4
"B",1993,"05",16.9
"B",1993,"06",18.1
"B",1993,"07",18.7
"B",1993,"08",19.5
"B",1993,"09",14.7
"B",1993,"10",10.3
"B",1993,"11",1.1
"B",1993,"12",1.7
"B",1994,"01",3.3
"B",1994,"02",0.8
"B",1994,"03",8.3
"B",1994,"04",9.8
"B",1994,"05",14.7
"B",1994,"06",18.6
"B",1994,"07",22.3
"B",1994,"08",21
"B",1994,"09",17.1
"B",1994,"10",8
"B",1994,"11",6.6
"B",1994,"12",1.4
"B",1995,"01",-0.7
"B",1995,"02",4.7
"B",1995,"03",4.3
"B",1995,"04",10.4
"B",1995,"05",14.5
"B",1995,"06",16.7
"B",1995,"07",22
"B",1995,"08",19
"B",1995,"09",14.1
"B",1995,"10",11
"B",1995,"11",2.3
"B",1995,"12",-0.9
"B",1996,"01",-3
"B",1996,"02",-3.1
"B",1996,"03",1.5
"B",1996,"04",9.5
"B",1996,"05",15.5
"B",1996,"06",18.6
"B",1996,"07",18
"B",1996,"08",18.7
"B",1996,"09",12.3
"B",1996,"10",10.7
"B",1996,"11",6.5
"B",1996,"12",-2.9
"B",1997,"01",-2.5
"B",1997,"02",3.2
"B",1997,"03",5.5
"B",1997,"04",7.3
"B",1997,"05",15.5
"B",1997,"06",18.2
"B",1997,"07",18.7
"B",1997,"08",19.7
"B",1997,"09",15.4
"B",1997,"10",7.8
"B",1997,"11",4.7
"B",1997,"12",1.8
"B",1998,"01",1.6
"B",1998,"02",5.1
"B",1998,"03",4.7
"B",1998,"04",11.3
"B",1998,"05",15
"B",1998,"06",19.1
"B",1998,"07",19.8
"B",1998,"08",20.1
"B",1998,"09",14.5
"B",1998,"10",10.5
"B",1998,"11",2.1
"B",1998,"12",-1.8
"B",1999,"01",-0.3
"B",1999,"02",0.6
"B",1999,"03",7
"B",1999,"04",11.2
"B",1999,"05",15.4
"B",1999,"06",17.8
"B",1999,"07",20.4
"B",1999,"08",18.8
"B",1999,"09",17.4
"B",1999,"10",10.6
"B",1999,"11",2.8
"B",1999,"12",0.3
"B",2000,"01",-1.9
"B",2000,"02",4.1
"B",2000,"03",6.2
"B",2000,"04",13.3
"B",2000,"05",16.7
"B",2000,"06",19.8
"B",2000,"07",18.4
"B",2000,"08",21.2
"B",2000,"09",15.2
"B",2000,"10",12.5
"B",2000,"11",7.5
"B",2000,"12",2
"B",2001,"01",0.3
"B",2001,"02",2.9
"B",2001,"03",7.1
"B",2001,"04",9.4
"B",2001,"05",16.6
"B",2001,"06",17
"B",2001,"07",20.5
"B",2001,"08",21.4
"B",2001,"09",13.5
"B",2001,"10",12.9
"B",2001,"11",3.3
"B",2001,"12",-2.7
"B",2002,"01",0.2
"B",2002,"02",5.1
"B",2002,"03",7
"B",2002,"04",9.7
"B",2002,"05",17.1
"B",2002,"06",20.1
"B",2002,"07",21.2
"B",2002,"08",20.2
"B",2002,"09",14.4
"B",2002,"10",9.3
"B",2002,"11",7.3
"B",2002,"12",-0.6
"B",2003,"01",-1.5
"B",2003,"02",-2.1
"B",2003,"03",6.1
"B",2003,"04",9.4
"B",2003,"05",17.5
"B",2003,"06",21.9
"B",2003,"07",21.2
"B",2003,"08",23.2
"B",2003,"09",15.3
"B",2003,"10",7.7
"B",2003,"11",6.4
"B",2003,"12",0.5
"B",2004,"01",-2.1
"B",2004,"02",2.2
"B",2004,"03",4.1
"B",2004,"04",10.8
"B",2004,"05",13.6
"B",2004,"06",17.5
"B",2004,"07",19.5
"B",2004,"08",20.2
"B",2004,"09",15.1
"B",2004,"10",11.3
"B",2004,"11",5.4
"B",2004,"12",0.5
"B",2005,"01",0.6
"B",2005,"02",-1.7
"B",2005,"03",3.7
"B",2005,"04",10.7
"B",2005,"05",15.5
"B",2005,"06",18.4
"B",2005,"07",20
"B",2005,"08",18.2
"B",2005,"09",16.2
"B",2005,"10",10.4
"B",2005,"11",3.8
"B",2005,"12",-0.3
"B",2006,"01",-4
"B",2006,"02",-0.9
"B",2006,"03",3.3
"B",2006,"04",11.2
"B",2006,"05",14.4
"B",2006,"06",18.8
"B",2006,"07",22.9
"B",2006,"08",17.3
"B",2006,"09",17.1
"B",2006,"10",12
"B",2006,"11",7
"B",2006,"12",2.5
"B",2007,"01",4.6
"B",2007,"02",4.7
"B",2007,"03",7.3
"B",2007,"04",12.8
"B",2007,"05",16.3
"B",2007,"06",20.2
"B",2007,"07",21.4
"B",2007,"08",20.2
"B",2007,"09",13.5
"B",2007,"10",8.9
"B",2007,"11",3.4
"B",2007,"12",-0.3
"B",2008,"01",2.2
"B",2008,"02",3.7
"B",2008,"03",5.9
"B",2008,"04",10.5
"B",2008,"05",15.7
"B",2008,"06",19.7
"B",2008,"07",20.2
"B",2008,"08",20
"B",2008,"09",14.5
"B",2008,"10",10.6
"B",2008,"11",6.3
"B",2008,"12",1.9
"B",2009,"01",-2.1
"B",2009,"02",0.9
"B",2009,"03",5.6
"B",2009,"04",13.7
"B",2009,"05",16
"B",2009,"06",17.5
"B",2009,"07",20.7
"B",2009,"08",20.8
"B",2009,"09",16.9
"B",2009,"10",9.7
"B",2009,"11",6.3
"B",2009,"12",0.9
"B",2010,"01",-2.4
"B",2010,"02",0.4
"B",2010,"03",5.5
"B",2010,"04",10.4
"B",2010,"05",14.6
"B",2010,"06",18.8
"B",2010,"07",21.9
"B",2010,"08",19.3
"B",2010,"09",14
"B",2010,"10",7.6
"B",2010,"11",7
"B",2010,"12",-2.2
"B",2011,"01",0.3
"B",2011,"02",0
"B",2011,"03",6
"B",2011,"04",12.5
"B",2011,"05",15.5
"B",2011,"06",19.1
"B",2011,"07",19.2
"B",2011,"08",20.9
"B",2011,"09",17.8
"B",2011,"10",9.5
"B",2011,"11",2.9
"B",2011,"12",2.6
"B",2012,"01",1.3
"B",2012,"02",-2.6
"B",2012,"03",8.3
"B",2012,"04",10.7
"B",2012,"05",16.3
"B",2012,"06",20
"B",2012,"07",21.1
"B",2012,"08",21.4
"B",2012,"09",16.5
"B",2012,"10",10
"B",2012,"11",6.6
"B",2012,"12",0
"B",2013,"01",0.1
"B",2013,"02",0.8
"B",2013,"03",2.8
"B",2013,"04",11.4
"B",2013,"05",14.5
"B",2013,"06",18.2
"B",2013,"07",22.2
"B",2013,"08",21.1
"B",2013,"09",15
"B",2013,"10",11
"B",2013,"11",5.8
"B",2013,"12",2.2
"B",2014,"01",2.2
"B",2014,"02",3.4
"B",2014,"03",8.9
"B",2014,"04",12.2
"B",2014,"05",14.4
"B",2014,"06",18.8
"B",2014,"07",21.1
"B",2014,"08",18.7
"B",2014,"09",15.6
"B",2014,"10",12.2
"B",2014,"11",7.8
"B",2014,"12",2.7
"B",2015,"01",2.3
"B",2015,"02",1.9
"B",2015,"03",6.3
"B",2015,"04",10.7
"B",2015,"05",15.2
"B",2015,"06",19.3
"B",2015,"07",23
"B",2015,"08",22.8
"B",2015,"09",15.8
"B",2015,"10",9.7
"B",2015,"11",7.3
"B",2015,"12",2.7
"B",2016,"01",0
"B",2016,"02",5.6
"B",2016,"03",6.4
"B",2016,"04",11.2
"B",2016,"05",15.2
"B",2016,"06",19.5
"B",2016,"07",21.4
"B",2016,"08",19.8
"B",2016,"09",18
"B",2016,"10",9.4
"B",2016,"11",4.6
"B",2016,"12",0.4
"B",2017,"01",-4.4
"B",2017,"02",2.6
"B",2017,"03",9
"B",2017,"04",10
"B",2017,"05",16.2
"B",2017,"06",21.1
"B",2017,"07",21.6
"B",2017,"08",22.1
"B",2017,"09",14.6
"B",2017,"10",11.5
"B",2017,"11",5.5
"B",2017,"12",1.8
"B",2018,"01",3.2
"B",2018,"02",-1.2
"B",2018,"03",3.2
"B",2018,"04",15.1
"B",2018,"05",18
"B",2018,"06",20.3
"B",2018,"07",21.7
"B",2018,"08",22.6
"B",2018,"09",17.2
"B",2018,"10",12.4
"B",2018,"11",6.3
"B",2018,"12",2
"B",2019,"01",0.1
"B",2019,"02",4.3
"B",2019,"03",8.3
"B",2019,"04",11.5
"B",2019,"05",12.7
"B",2019,"06",22.9
"B",2019,"07",21.8
"B",2019,"08",22.1
"B",2019,"09",16.5
"B",2019,"10",11.9
"B",2019,"11",7.6
"B",2019,"12",2.8
"B",2020,"01",0.6
"B",2020,"02",5.8
"B",2020,"03",6.7
"B",2020,"04",11.8
"B",2020,"05",14.1
"B",2020,"06",18.4
"B",2020,"07",20.7
"B",2020,"08",21.6
"B",2020,"09",16.6
"B",2020,"10",10.9
"B",2020,"11",5.1
"B",2020,"12",2.2
"B",2021,"01",0.9
"B",2021,"02",2.4
"B",2021,"03",5.4
"B",2021,"04",8.5
"B",2021,"05",13.1
"B",2021,"06",21.5
"B",2021,"07",22.3
"B",2021,"08",19.2
"B",2021,"09",16.5
"B",2021,"10",9.8
"B",2021,"11",5.1
"B",2021,"12",1.8
"B",2022,"01",2
"B",2022,"02",5
"B",2022,"03",5.4
"B",2022,"04",9.4
"B",2022,"05",17
"B",2022,"06",21.4
"B",2022,"07",22.1
"B",2022,"08",22.1
"B",2022,"09",15.1
"B",2022,"10",12.7
"B",2022,"11",6.3
"B",2022,"12",1.6
"B",2023,"01",3.2
"B",2023,"02",3.3
"B",2023,"03",7.4
"B",2023,"04",8.7
"B",2023,"05",14.8
"B",2023,"06",19.2
"B",2023,"07",22.4
"B",2023,"08",21
"B",2023,"09",18.9
"B",2023,"10",13.8
"B",2023,"11",6
"B",2023,"12",3
"B",2024,"01",1.2
"B",2024,"02",7.6
"B",2024,"03",9.1
"B",2024,"04",12.6
"B",2024,"05",16.4
"B",2024,"06",20.4
"B",2024,"07",23.3
"B",2024,"08",23.7
"B",2024,"09",16.7
"B",2024,"10",11.7
"B",2024,"11",4.1
"B",2024,"12",2.2
"B",2025,"01",1.5
"B",2025,"02",1.2
"B",2025,"03",7.6
"B",2025,"04",12.5
"B",2025,"05",14.1
"B",2025,"06",21.5
"B",2025,"07",20.7
"B",2025,"08",20.8
"B",2025,"09",17.2
"B",2025,"10",10.3
"B",2025,"11",4.7
"B",2025,"12",1.9
"K",1850,"01",-8.3
"K",1850,"02",-2.2
"K",1850,"03",-2.2
"K",1850,"04",4.4
"K",1850,"05",7.2
"K",1850,"06",11.8
"K",1850,"07",12.5
"K",1850,"08",13.6
"K",1850,"09",8.9
"K",1850,"10",2.7
"K",1850,"11",-0.1
"K",1850,"12",-2.4
"K",1851,"01",-4.2
"K",1851,"02",-3.8
"K",1851,"03",-1.3
"K",1851,"04",4.4
"K",1851,"05",4.2
"K",1851,"06",11.8
"K",1851,"07",12.5
"K",1851,"08",12.5
"K",1851,"09",6.3
"K",1851,"10",6.7
"K",1851,"11",-4.9
"K",1851,"12",-6.7
"K",1852,"01",-4.5
"K",1852,"02",-4.3
"K",1852,"03",-3.8
"K",1852,"04",1.8
"K",1852,"05",8.1
"K",1852,"06",12.4
"K",1852,"07",14.1
"K",1852,"08",12.8
"K",1852,"09",9.3
"K",1852,"10",4
"K",1852,"11",4
"K",1852,"12",-0.3
"K",1853,"01",-3.2
"K",1853,"02",-5.8
"K",1853,"03",-3.1
"K",1853,"04",1.5
"K",1853,"05",8.1
"K",1853,"06",11.5
"K",1853,"07",15.3
"K",1853,"08",14.1
"K",1853,"09",10
"K",1853,"10",5.7
"K",1853,"11",-0.6
"K",1853,"12",-7.3
"K",1854,"01",-5.1
"K",1854,"02",-6.4
"K",1854,"03",-1
"K",1854,"04",4.6
"K",1854,"05",8.9
"K",1854,"06",11.2
"K",1854,"07",14.2
"K",1854,"08",12
"K",1854,"09",9.7
"K",1854,"10",6.1
"K",1854,"11",-3.6
"K",1854,"12",-3.9
"K",1855,"01",-8.2
"K",1855,"02",-4
"K",1855,"03",-1
"K",1855,"04",2.9
"K",1855,"05",6.9
"K",1855,"06",12
"K",1855,"07",14.1
"K",1855,"08",14.9
"K",1855,"09",9.4
"K",1855,"10",8.5
"K",1855,"11",-0.7
"K",1855,"12",-9.1
"K",1856,"01",-3.1
"K",1856,"02",-1.4
"K",1856,"03",-1.6
"K",1856,"04",5.3
"K",1856,"05",7.7
"K",1856,"06",13.8
"K",1856,"07",12.3
"K",1856,"08",14.6
"K",1856,"09",8.3
"K",1856,"10",6.7
"K",1856,"11",-4.9
"K",1856,"12",-5.9
"K",1857,"01",-7.9
"K",1857,"02",-6.3
"K",1857,"03",-2.4
"K",1857,"04",3.1
"K",1857,"05",8.3
"K",1857,"06",11.3
"K",1857,"07",15.2
"K",1857,"08",14.2
"K",1857,"09",11.2
"K",1857,"10",8
"K",1857,"11",0.4
"K",1857,"12",-3.8
"K",1858,"01",-10.4
"K",1858,"02",-8.7
"K",1858,"03",-2.4
"K",1858,"04",4.9
"K",1858,"05",7.5
"K",1858,"06",13.7
"K",1858,"07",13.3
"K",1858,"08",12.1
"K",1858,"09",11.4
"K",1858,"10",7.5
"K",1858,"11",-3
"K",1858,"12",-4.3
"K",1859,"01",-6
"K",1859,"02",-2.5
"K",1859,"03",0.7
"K",1859,"04",4.1
"K",1859,"05",8
"K",1859,"06",11.9
"K",1859,"07",17.2
"K",1859,"08",15.7
"K",1859,"09",9.3
"K",1859,"10",7.3
"K",1859,"11",-1.3
"K",1859,"12",-6.9
"K",1860,"01",-4.2
"K",1860,"02",-7.6
"K",1860,"03",-3.3
"K",1860,"04",2
"K",1860,"05",8.8
"K",1860,"06",12
"K",1860,"07",11.1
"K",1860,"08",12.4
"K",1860,"09",10.1
"K",1860,"10",4.9
"K",1860,"11",-2.3
"K",1860,"12",-5
"K",1861,"01",-6.9
"K",1861,"02",-1.7
"K",1861,"03",-1
"K",1861,"04",2.2
"K",1861,"05",8
"K",1861,"06",12.5
"K",1861,"07",13.9
"K",1861,"08",16.4
"K",1861,"09",10.9
"K",1861,"10",6.2
"K",1861,"11",0.1
"K",1861,"12",-5.4
"K",1862,"01",-6.3
"K",1862,"02",-3.7
"K",1862,"03",2.4
"K",1862,"04",6.4
"K",1862,"05",10.2
"K",1862,"06",11.8
"K",1862,"07",14.4
"K",1862,"08",13
"K",1862,"09",10.6
"K",1862,"10",7.3
"K",1862,"11",0.8
"K",1862,"12",-4.3
"K",1863,"01",-2.5
"K",1863,"02",-3
"K",1863,"03",1
"K",1863,"04",5.1
"K",1863,"05",9.6
"K",1863,"06",11.8
"K",1863,"07",12.9
"K",1863,"08",14.4
"K",1863,"09",10
"K",1863,"10",7
"K",1863,"11",0.3
"K",1863,"12",-2.9
"K",1864,"01",-9.8
"K",1864,"02",-4.8
"K",1864,"03",0.4
"K",1864,"04",1.4
"K",1864,"05",7.3
"K",1864,"06",11
"K",1864,"07",12.5
"K",1864,"08",11.6
"K",1864,"09",9.9
"K",1864,"10",3.4
"K",1864,"11",-0.7
"K",1864,"12",-4.5
"K",1865,"01",-4.9
"K",1865,"02",-7.3
"K",1865,"03",-4.5
"K",1865,"04",6.8
"K",1865,"05",11.9
"K",1865,"06",11
"K",1865,"07",16
"K",1865,"08",13.7
"K",1865,"09",11.2
"K",1865,"10",5.6
"K",1865,"11",1.9
"K",1865,"12",-3.3
"K",1866,"01",-2.9
"K",1866,"02",-0.4
"K",1866,"03",0.7
"K",1866,"04",5.4
"K",1866,"05",6.2
"K",1866,"06",13.2
"K",1866,"07",13.1
"K",1866,"08",11.3
"K",1866,"09",10.9
"K",1866,"10",3.8
"K",1866,"11",-0.6
"K",1866,"12",-3.3
"K",1867,"01",-4
"K",1867,"02",-1.3
"K",1867,"03",-0.4
"K",1867,"04",4.4
"K",1867,"05",8.5
"K",1867,"06",12
"K",1867,"07",12.6
"K",1867,"08",13.5
"K",1867,"09",11.2
"K",1867,"10",4.4
"K",1867,"11",-1.3
"K",1867,"12",-6.2
"K",1868,"01",-7.3
"K",1868,"02",-2.8
"K",1868,"03",-1.5
"K",1868,"04",3.4
"K",1868,"05",12.4
"K",1868,"06",12.8
"K",1868,"07",13.6
"K",1868,"08",13.3
"K",1868,"09",12.1
"K",1868,"10",6.9
"K",1868,"11",-1.2
"K",1868,"12",-0.3
"K",1869,"01",-6.7
"K",1869,"02",1
"K",1869,"03",-2.2
"K",1869,"04",6
"K",1869,"05",11.3
"K",1869,"06",10
"K",1869,"07",15.4
"K",1869,"08",11.9
"K",1869,"09",10.9
"K",1869,"10",2.8
"K",1869,"11",-1.4
"K",1869,"12",-3.4
"K",1870,"01",-7.9
"K",1870,"02",-6
"K",1870,"03",-3.2
"K",1870,"04",2.5
"K",1870,"05",10
"K",1870,"06",12
"K",1870,"07",14.9
"K",1870,"08",11.4
"K",1870,"09",8.2
"K",1870,"10",3.9
"K",1870,"11",0.9
"K",1870,"12",-6
"K",1871,"01",-7.4
"K",1871,"02",-4.4
"K",1871,"03",-0.4
"K",1871,"04",3.9
"K",1871,"05",5.9
"K",1871,"06",9.2
"K",1871,"07",14.4
"K",1871,"08",12.9
"K",1871,"09",11.1
"K",1871,"10",3.5
"K",1871,"11",-1
"K",1871,"12",-9.2
"K",1872,"01",-4.5
"K",1872,"02",-2.3
"K",1872,"03",0.5
"K",1872,"04",5.2
"K",1872,"05",9.1
"K",1872,"06",11.6
"K",1872,"07",14.4
"K",1872,"08",12.5
"K",1872,"09",10.9
"K",1872,"10",7.6
"K",1872,"11",1.1
"K",1872,"12",-1
"K",1873,"01",-2.2
"K",1873,"02",-3.9
"K",1873,"03",2.1
"K",1873,"04",2.7
"K",1873,"05",6.2
"K",1873,"06",11.1
"K",1873,"07",15.1
"K",1873,"08",14.8
"K",1873,"09",9.2
"K",1873,"10",7.7
"K",1873,"11",0
"K",1873,"12",-3.5
"K",1874,"01",-4.2
"K",1874,"02",-4.1
"K",1874,"03",-1.4
"K",1874,"04",5.6
"K",1874,"05",4.8
"K",1874,"06",12.3
"K",1874,"07",15.9
"K",1874,"08",12.1
"K",1874,"09",11.7
"K",1874,"10",5.8
"K",1874,"11",-3.9
"K",1874,"12",-5.8
"K",1875,"01",-4.5
"K",1875,"02",-8.4
"K",1875,"03",-3.7
"K",1875,"04",3
"K",1875,"05",10
"K",1875,"06",13.5
"K",1875,"07",13.4
"K",1875,"08",14.2
"K",1875,"09",9.4
"K",1875,"10",4.4
"K",1875,"11",-1
"K",1875,"12",-6.8
"K",1876,"01",-6.9
"K",1876,"02",-4.1
"K",1876,"03",0.1
"K",1876,"04",4.7
"K",1876,"05",5.5
"K",1876,"06",12.1
"K",1876,"07",14
"K",1876,"08",13.4
"K",1876,"09",9
"K",1876,"10",7.4
"K",1876,"11",-2.3
"K",1876,"12",-1.2
"K",1877,"01",-2.1
"K",1877,"02",-1.9
"K",1877,"03",-1.5
"K",1877,"04",3.3
"K",1877,"05",6.5
"K",1877,"06",13.8
"K",1877,"07",13.7
"K",1877,"08",15.3
"K",1877,"09",7.9
"K",1877,"10",3
"K",1877,"11",0.6
"K",1877,"12",-4.6
"K",1878,"01",-6.3
"K",1878,"02",-2.2
"K",1878,"03",-1.1
"K",1878,"04",4.1
"K",1878,"05",9.2
"K",1878,"06",11.6
"K",1878,"07",13
"K",1878,"08",14
"K",1878,"09",10.9
"K",1878,"10",6.2
"K",1878,"11",-1.4
"K",1878,"12",-7.1
"K",1879,"01",-6.3
"K",1879,"02",-2.5
"K",1879,"03",-1.1
"K",1879,"04",3.2
"K",1879,"05",5.5
"K",1879,"06",13
"K",1879,"07",11.6
"K",1879,"08",15.2
"K",1879,"09",11.4
"K",1879,"10",4
"K",1879,"11",-3.1
"K",1879,"12",-10.5
"K",1880,"01",-8.8
"K",1880,"02",-3.9
"K",1880,"03",0.5
"K",1880,"04",5.9
"K",1880,"05",7.4
"K",1880,"06",10.8
"K",1880,"07",15.2
"K",1880,"08",12.2
"K",1880,"09",10.3
"K",1880,"10",6.3
"K",1880,"11",0.6
"K",1880,"12",-1.2
"K",1881,"01",-8.5
"K",1881,"02",-4
"K",1881,"03",0.4
"K",1881,"04",2.6
"K",1881,"05",7.4
"K",1881,"06",11.4
"K",1881,"07",15.4
"K",1881,"08",13.7
"K",1881,"09",9
"K",1881,"10",2.4
"K",1881,"11",1
"K",1881,"12",-2.9
"K",1882,"01",-2.3
"K",1882,"02",-2.6
"K",1882,"03",3.2
"K",1882,"04",3.5
"K",1882,"05",9.1
"K",1882,"06",10.4
"K",1882,"07",13.3
"K",1882,"08",12
"K",1882,"09",9.4
"K",1882,"10",6.2
"K",1882,"11",-0.9
"K",1882,"12",-2.9
"K",1883,"01",-5.2
"K",1883,"02",-2.6
"K",1883,"03",-3.8
"K",1883,"04",2.6
"K",1883,"05",8.1
"K",1883,"06",11.7
"K",1883,"07",13
"K",1883,"08",12.9
"K",1883,"09",9.2
"K",1883,"10",4.6
"K",1883,"11",-0.7
"K",1883,"12",-5.2
"K",1884,"01",-4.4
"K",1884,"02",-2.7
"K",1884,"03",1.3
"K",1884,"04",4.2
"K",1884,"05",9.3
"K",1884,"06",8.5
"K",1884,"07",14
"K",1884,"08",12.8
"K",1884,"09",10
"K",1884,"10",3
"K",1884,"11",-2.9
"K",1884,"12",-3.3
"K",1885,"01",-7.6
"K",1885,"02",-1.8
"K",1885,"03",0.2
"K",1885,"04",4.8
"K",1885,"05",6.4
"K",1885,"06",12.8
"K",1885,"07",14.5
"K",1885,"08",12.4
"K",1885,"09",10.3
"K",1885,"10",3.9
"K",1885,"11",0.7
"K",1885,"12",-5.2
"K",1886,"01",-5.7
"K",1886,"02",-4.2
"K",1886,"03",-2.5
"K",1886,"04",5.1
"K",1886,"05",8.5
"K",1886,"06",10.6
